RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty
2020-06-26,DOLH21,BRBMEFDOL686,FINANCIAL,,,,,5495.976,,,
2020-06-26,DOLJ21,BRBMEFDOL5L1,FINANCIAL,,,,,5504.795,,,
2020-06-26,DOLJ22,BRBMEFDOL538,FINANCIAL,,,,,5664.807,,,
2020-06-26,DOLJ23,BRBMEFDOL5M9,FINANCIAL,,,,,5953.078,,,
2020-06-26,DOLK21,BRBMEFDOL6A2,FINANCIAL,,,,,5510.765,,,
2020-06-26,DOLM21,BRBMEFDOL6B0,FINANCIAL,,,,,5519.386,,,
2020-06-26,DOLN20,BRBMEFDOL579,FINANCIAL,5368.5,5493.5,5453.295,5485,5458.819,,45169,335750
2020-06-26,DOLN21,BRBMEFDOL4F6,FINANCIAL,,,,,5530.915,,,
2020-06-26,DOLN22,BRBMEFDOL561,FINANCIAL,,,,,5725.796,,,
2020-06-26,DOLN23,BRBMEFDOL5C0,FINANCIAL,,,,,6046.978,,,
2020-06-26,DOLN24,BRBMEFDOL5B2,FINANCIAL,,,,,6425.584,,,
2020-06-26,DOLQ20,BRBMEFDOL629,FINANCIAL,5417.5,5494,5462.85,5482,5464.914,,57,15860
2020-06-26,DOLU20,BRBMEFDOL637,FINANCIAL,5424,5424,5424,5424,5470.092,,1,5
2020-06-26,DOLV20,BRBMEFDOL5A4,FINANCIAL,,,,,5475.448,,,
2020-06-26,DOLV21,BRBMEFDOL5U2,FINANCIAL,,,,,5567.962,,,
2020-06-26,DOLV22,BRBMEFDOL5D8,FINANCIAL,,,,,5798.108,,,
2020-06-26,DOLX20,BRBMEFDOL645,FINANCIAL,,,,,5479.297,,,
2020-06-26,DOLZ20,BRBMEFDOL652,FINANCIAL,,,,,5484.604,,,
2020-06-26,ETHF21,BRBMEFETH3G6,AGRIBUSINESS,1915,1918,1915.5,1918,1915,,4,60
2020-06-26,ETHG21,BRBMEFETH3L6,AGRIBUSINESS,1925,1925,1925,1925,1950,,3,50
2020-06-26,ETHH21,BRBMEFETH3M4,AGRIBUSINESS,1930,1930,1930,1930,1930,,3,50
2020-06-26,ETHK21,BRBMEFETH3K8,AGRIBUSINESS,,,,,1820,,,
2020-06-26,ETHM20,BRBMEFETH3C5,AGRIBUSINESS,,,,,1680,,,
2020-06-26,ETHN20,BRBMEFETH3D3,AGRIBUSINESS,1730,1735,1734.48,1735,1735,,11,97
2020-06-26,ETHQ20,BRBMEFETH3F8,AGRIBUSINESS,1750,1760,1759.9,1760,1777.5,,12,108
2020-06-26,ETHU20,BRBMEFETH3H4,AGRIBUSINESS,1790,1800,1799.74,1800,1805,,13,131
2020-06-26,ETHV20,BRBMEFETH3I2,AGRIBUSINESS,1810,1825,1821.5,1825,1842.5,,15,88
2020-06-26,ETHX20,BRBMEFETH3J0,AGRIBUSINESS,,,,,1885,,,
2020-06-26,ETHZ20,BRBMEFETH3E1,AGRIBUSINESS,1890,1895,1891.33,1895,1905,,4,15
2020-06-26,EUPN20,BRBMEFEUP0I5,FINANCIAL,1120.3,1123,1121.79,1123,1122.891,,11,1078
2020-06-26,EUPQ20,BRBMEFEUP0J3,FINANCIAL,1121.1,1123.4,1122.65,1123.4,1123.848,,11,1459
2020-06-26,EUPU20,BRBMEFEUP0K1,FINANCIAL,1125,1125,1125,1125,1124.618,,1,116
2020-06-26,EUPV20,BRBMEFEUP0L9,FINANCIAL,,,,,1125.386,,,
2020-06-26,EURF21,BRBMEFEUR5J0,FINANCIAL,,,,,6180.941,,,
2020-06-26,EURN20,BRBMEFEUR5H4,FINANCIAL,6100,6146,6121.016,6125,6129.199,,6,125
2020-06-26,EURQ20,BRBMEFEUR5M4,FINANCIAL,6100,6158.7,6118.291,6117,6139.924,,6,175
2020-06-26,EURU20,BRBMEFEUR5N2,FINANCIAL,,,,,6149.283,,,
2020-06-26,EURV20,BRBMEFEUR5I2,FINANCIAL,,,,,6158.848,,,
2020-06-26,GBPN20,BRBMEFGBP3C3,FINANCIAL,6700,6700,6700,6700,6737.363,,2,9
2020-06-26,GBPQ20,BRBMEFGBP3D1,FINANCIAL,6703.1,6706,6705.677,6703.1,6745.501,,3,9
2020-06-26,GBPU20,BRBMEFGBP3E9,FINANCIAL,,,,,6752.821,,,
2020-06-26,GBRN20,BRBMEFGBR0I4,FINANCIAL,1232,1236.8,1236,1232,1234.393,,2,364
2020-06-26,GBRQ20,BRBMEFGBR0J2,FINANCIAL,1232.4,1236.9,1236.15,1232.4,1234.798,,2,364
2020-06-26,GBRU20,BRBMEFGBR0K0,FINANCIAL,,,,,1234.984,,,
2020-06-26,HSIM20,BRBMEFHSI2S0,FINANCIAL,,,,,24506,,,
2020-06-26,HSIN20,BRBMEFHSI2T8,FINANCIAL,,,,,24339,,,
2020-06-26,HYPEON20,BRHYPE370017,FINANCIAL,33.52,34.95,34.36,33.52,33.79,,10,1000
2020-06-26,HYPEOQ20,BRHYPE380016,FINANCIAL,34.22,34.99,34.6,34.22,33.84,,2,200
2020-06-26,ICFH21,BRBMEFICF2M3,AGRIBUSINESS,105.85,108.2,106.6,108,107.85,,78,78
2020-06-26,ICFN20,BRBMEFICF2N1,AGRIBUSINESS,,,,,109.3,,,
2020-06-26,ICFU20,BRBMEFICF2G5,AGRIBUSINESS,102.45,105.2,104.51,104.5,104.9,,169,427
2020-06-26,ICFU21,BRBMEFICF2L5,AGRIBUSINESS,,,,,112.75,,,
2020-06-26,ICFZ20,BRBMEFICF2D2,AGRIBUSINESS,103.85,106.35,104.77,106,106.05,,120,133
2020-06-26,ICFZ21,BRBMEFICF2K7,AGRIBUSINESS,,,,,114.2,,,
2020-06-26,IMVM20,BRBMEFIMV076,FINANCIAL,,,,,40648,,,
2020-06-26,IMVN20,BRBMEFIMV092,FINANCIAL,,,,,41556,,,
2020-06-26,INDG21,BRBMEFIBV2X1,FINANCIAL,,,,,94687,,,
2020-06-26,INDG22,BRBMEFIBV335,FINANCIAL,,,,,98027,,,
2020-06-26,INDJ21,BRBMEFIBV2Y9,FINANCIAL,,,,,95042,,,
2020-06-26,INDJ22,BRBMEFIBV343,FINANCIAL,,,,,98750,,,
2020-06-26,INDM21,BRBMEFIBV2Z6,FINANCIAL,,,,,95474,,,
2020-06-26,INDM22,BRBMEFIBV350,FINANCIAL,,,,,99623,,,
2020-06-26,INDQ20,BRBMEFIBV2U7,FINANCIAL,93420,96100,94752,93460,93824,,24776,148740
2020-06-26,INDQ21,BRBMEFIBV301,FINANCIAL,,,,,96048,,,
2020-06-26,INDQ22,BRBMEFIBV368,FINANCIAL,,,,,100616,,,
2020-06-26,INDV20,BRBMEFIBV2V5,FINANCIAL,,,,,94102,,,
2020-06-26,INDV21,BRBMEFIBV319,FINANCIAL,,,,,96564,,,
2020-06-26,INDZ20,BRBMEFIBV2W3,FINANCIAL,,,,,94392,,,
